n_rows,n_features,n_neighbors,knn_accuracy,knn_precision,knn_recall,knn_f1_score,knn_fit_time,knn_predict_time,knn_total_time,kdtree_accuracy,kdtree_precision,kdtree_recall,kdtree_f1_score,kdtree_fit_time,kdtree_predict_time,kdtree_total_time,accuracy_difference,time_difference,kdtree_faster
1000,5,3,0.63,0.6094494353508438,0.63,0.6167916002126528,0.0010011196136474,0.2078452110290527,0.2088463306427002,0.63,0.6100068535825545,0.63,0.6177459199776273,0.001997947692871,0.0396342277526855,0.0416321754455566,0.0,0.1672141551971435,True
1000,5,5,0.625,0.609174887823468,0.625,0.6091697473494312,0.0009987354278564,0.0220372676849365,0.0230360031127929,0.65,0.6334136224631638,0.65,0.6354499281890585,0.0030043125152587,0.0410752296447753,0.0440795421600341,0.025,-0.0210435390472412,False
1000,5,7,0.635,0.6013586015754159,0.635,0.6137517217379777,0.003331184387207,0.0240347385406494,0.0273659229278564,0.645,0.6109091704755422,0.645,0.623501166605906,0.0030016899108886,0.0365650653839111,0.0395667552947998,0.01,-0.0122008323669433,False
1000,5,9,0.64,0.6298770830938973,0.64,0.6258165202245154,0.0020008087158203,0.0255689620971679,0.0275697708129882,0.64,0.6300189393939394,0.64,0.6263972734525879,0.0020108222961425,0.0332655906677246,0.0352764129638671,0.0,-0.0077066421508789,False
1000,5,11,0.655,0.6164624881291547,0.655,0.6322199177060562,0.0009999275207519,0.0259361267089843,0.0269360542297363,0.65,0.6114855769230769,0.65,0.6272770565697543,0.0020112991333007,0.0396685600280761,0.0416798591613769,-0.005,-0.0147438049316406,False
1000,5,15,0.685,0.626625,0.685,0.6536666666666667,0.0020027160644531,0.0241639614105224,0.0261666774749755,0.685,0.626625,0.685,0.6536666666666667,0.0025124549865722,0.0385966300964355,0.0411090850830078,0.0,-0.0149424076080322,False
1000,10,3,0.615,0.6064597613607514,0.615,0.6092686483871217,0.0009999275207519,0.0235474109649658,0.0245473384857177,0.615,0.6064597613607514,0.615,0.6092686483871217,0.0030021667480468,0.0356128215789794,0.0386149883270263,0.0,-0.0140676498413085,False
1000,10,5,0.65,0.6342166105499438,0.65,0.6388040301492078,0.0010030269622802,0.020038366317749,0.0210413932800292,0.65,0.6342166105499438,0.65,0.6388040301492078,0.0025069713592529,0.0377893447875976,0.0402963161468505,0.0,-0.0192549228668212,False
1000,10,7,0.665,0.6415480262311946,0.665,0.651751333591032,0.0020017623901367,0.0218100547790527,0.0238118171691894,0.665,0.6415480262311946,0.665,0.651751333591032,0.002000093460083,0.0387275218963623,0.0407276153564453,0.0,-0.0169157981872558,False
1000,10,9,0.665,0.6426944444444445,0.665,0.6498456486042692,0.0010011196136474,0.0180401802062988,0.0190412998199462,0.665,0.6426944444444445,0.665,0.6498456486042692,0.0020051002502441,0.0363855361938476,0.0383906364440918,0.0,-0.0193493366241455,False
1000,10,11,0.68,0.6571533980582526,0.68,0.6650817982161266,0.001000165939331,0.0196607112884521,0.0206608772277832,0.68,0.6571533980582526,0.68,0.6650817982161266,0.0025053024291992,0.0821101665496826,0.0846154689788818,0.0,-0.0639545917510986,False
1000,10,15,0.655,0.61996602192231,0.655,0.6345681647306168,0.0010097026824951,0.0175113677978515,0.0185210704803466,0.655,0.61996602192231,0.655,0.6345681647306168,0.001997947692871,0.0353779792785644,0.0373759269714355,0.0,-0.0188548564910888,False
1000,20,3,0.615,0.5845217215326497,0.615,0.5980260047281324,0.0020093917846679,0.0211274623870849,0.0231368541717529,0.615,0.5845217215326497,0.615,0.5980260047281324,0.0029983520507812,0.0375919342041015,0.0405902862548828,0.0,-0.0174534320831298,False
1000,20,5,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0009968280792236,0.0225861072540283,0.0235829353332519,0.645,0.6174502164502165,0.645,0.6291827153661685,0.0040030479431152,0.0382764339447021,0.0422794818878173,0.0,-0.0186965465545654,False
1000,20,7,0.625,0.5950925450379266,0.625,0.6070966450323008,0.0019989013671875,0.0180251598358154,0.0200240612030029,0.625,0.5950925450379266,0.625,0.6070966450323008,0.0040006637573242,0.0397336483001709,0.0437343120574951,0.0,-0.0237102508544921,False
1000,20,9,0.625,0.6038225108225107,0.625,0.6099137529137529,0.0010030269622802,0.0200362205505371,0.0210392475128173,0.625,0.6038225108225107,0.625,0.6099137529137529,0.0040013790130615,0.0341937541961669,0.0381951332092285,0.0,-0.0171558856964111,False
1000,20,11,0.625,0.6010500130924326,0.625,0.6088409703504044,0.0020315647125244,0.0179150104522705,0.0199465751647949,0.625,0.6010500130924326,0.625,0.6088409703504044,0.0035181045532226,0.0383205413818359,0.0418386459350585,0.0,-0.0218920707702636,False
1000,20,15,0.67,0.6467275657369997,0.67,0.6558954781912766,0.0020103454589843,0.0248105525970459,0.0268208980560302,0.67,0.6467275657369997,0.67,0.6558954781912766,0.003000259399414,0.0374681949615478,0.0404684543609619,0.0,-0.0136475563049316,False
1000,30,3,0.615,0.6061883574341862,0.615,0.6030451713395638,0.0019974708557128,0.0251259803771972,0.0271234512329101,0.615,0.6061883574341862,0.615,0.6030451713395638,0.0061292648315429,0.0371372699737548,0.0432665348052978,0.0,-0.0161430835723876,False
1000,30,5,0.64,0.6227524017841826,0.64,0.6240995064125905,0.00099778175354,0.0180308818817138,0.0190286636352539,0.64,0.6227524017841826,0.64,0.6240995064125905,0.0040154457092285,0.0427160263061523,0.0467314720153808,0.0,-0.0277028083801269,False
1000,30,7,0.665,0.6219231710185839,0.665,0.6414977542760151,0.0022804737091064,0.0235247611999511,0.0258052349090576,0.665,0.6219231710185839,0.665,0.6414977542760151,0.0047554969787597,0.0355031490325927,0.0402586460113525,0.0,-0.0144534111022949,False
1000,30,9,0.645,0.6415897435897436,0.645,0.6308927266499201,0.0020010471343994,0.0196211338043212,0.0216221809387207,0.645,0.6415897435897436,0.645,0.6308927266499201,0.0045351982116699,0.0346970558166503,0.0392322540283203,0.0,-0.0176100730895996,False
1000,30,11,0.635,0.6303156748911466,0.635,0.6180741786780938,0.0025110244750976,0.0245959758758544,0.0271070003509521,0.635,0.6303156748911466,0.635,0.6180741786780938,0.0050058364868164,0.0391640663146972,0.0441699028015136,0.0,-0.0170629024505615,False
1000,30,15,0.635,0.6166984587739305,0.635,0.6135624619180325,0.0020008087158203,0.0206036567687988,0.0226044654846191,0.635,0.6166984587739305,0.635,0.6135624619180325,0.0030004978179931,0.0372343063354492,0.0402348041534423,0.0,-0.0176303386688232,False
